2021-09-10 13:34:52.3773 | INFO | WebView.Controllers.TogetherPassengerController | 傳入Url參數:KtwBd/MrrFcEG2SMxUTqQ0t1FcXedyF/dtqaNMyHAztEtOIrdP6MIbG/zR6l6ymy 

2021-09-10 13:34:52.3943 | INFO | WebView.Controllers.TogetherPassengerController | 傳入參數:12213028 & G221795414 

2021-09-10 13:34:52.4611 | INFO | WebView.Controllers.TogetherPassengerController | 受邀人狀態確認成功 

2021-09-10 13:34:52.5409 | INFO | WebView.Controllers.TogetherPassengerController | 訂單資料獲取成功 

2021-09-10 13:35:15.3188 | INFO | WebView.Controllers.TogetherPassengerController | 預約資料獲取成功 

2021-09-10 13:35:24.8303 | INFO | WebView.Controllers.TogetherPassengerController | 圈存結果 :  

2021-09-10 13:35:26.7273 | INFO | WebView.Controllers.TogetherPassengerController | 請求失敗 

2021-09-10 13:36:00.8491 | INFO | WebView.Controllers.TogetherPassengerController | 圈存結果 :  

2021-09-10 13:36:04.9678 | INFO | WebView.Controllers.TogetherPassengerController | 請求失敗 

2021-09-10 13:49:00.2166 | INFO | WebView.Controllers.TogetherPassengerController | 傳入Url參數:KtwBd/MrrFcEG2SMxUTqQ0t1FcXedyF/dtqaNMyHAztEtOIrdP6MIbG/zR6l6ymy 

2021-09-10 13:49:00.2635 | INFO | WebView.Controllers.TogetherPassengerController | 傳入參數:12213028 & G221795414 

2021-09-10 13:49:01.2416 | INFO | WebView.Controllers.TogetherPassengerController | 受邀人狀態確認成功 

2021-09-10 13:49:01.3264 | INFO | WebView.Controllers.TogetherPassengerController | 訂單資料獲取成功 

2021-09-10 13:49:04.8271 | INFO | WebView.Controllers.TogetherPassengerController | 傳入Url參數:KtwBd/MrrFcEG2SMxUTqQ0t1FcXedyF/dtqaNMyHAztEtOIrdP6MIbG/zR6l6ymy 

2021-09-10 13:49:04.8510 | INFO | WebView.Controllers.TogetherPassengerController | 傳入參數:12213028 & G221795414 

2021-09-10 13:49:06.3069 | INFO | WebView.Controllers.TogetherPassengerController | 預約資料獲取成功 

2021-09-10 13:49:06.6769 | INFO | WebView.Controllers.TogetherPassengerController | 受邀人狀態確認成功 

2021-09-10 13:49:06.7497 | INFO | WebView.Controllers.TogetherPassengerController | 訂單資料獲取成功 

2021-09-10 13:49:08.3499 | INFO | WebView.Controllers.TogetherPassengerController | 預約資料獲取成功 

2021-09-10 13:49:23.0675 | INFO | WebView.Controllers.TogetherPassengerController | 圈存結果 :  

2021-09-10 13:49:24.7522 | INFO | WebView.Controllers.TogetherPassengerController | 請求失敗 

2021-09-10 16:54:35.0472 | INFO | WebView.Controllers.TogetherPassengerController | 傳入Url參數:KtwBd/MrrFcEG2SMxUTqQ0t1FcXedyF/dtqaNMyHAztEtOIrdP6MIbG/zR6l6ymy 

2021-09-10 16:54:35.0990 | INFO | WebView.Controllers.TogetherPassengerController | 傳入參數:12213028 & G221795414 

2021-09-10 16:54:35.9901 | INFO | WebView.Controllers.TogetherPassengerController | 受邀人狀態確認成功 

2021-09-10 16:54:36.0700 | INFO | WebView.Controllers.TogetherPassengerController | 訂單資料獲取成功 

2021-09-10 16:54:39.6263 | INFO | WebView.Controllers.TogetherPassengerController | 預約資料獲取成功 

2021-09-10 16:55:44.8767 | INFO | WebView.Controllers.TogetherPassengerController | 圈存結果 :  

2021-09-10 16:55:53.3260 | INFO | WebView.Controllers.TogetherPassengerController | 請求失敗 

2021-09-10 17:05:47.4595 | INFO | WebView.Controllers.TogetherPassengerController | 傳入Url參數:KtwBd/MrrFcEG2SMxUTqQ0t1FcXedyF/dtqaNMyHAztEtOIrdP6MIbG/zR6l6ymy 

2021-09-10 17:05:47.5134 | INFO | WebView.Controllers.TogetherPassengerController | 傳入參數:12213028 & G221795414 

2021-09-10 17:05:48.3995 | INFO | WebView.Controllers.TogetherPassengerController | 受邀人狀態確認成功 

2021-09-10 17:05:48.4773 | INFO | WebView.Controllers.TogetherPassengerController | 訂單資料獲取成功 

2021-09-10 17:05:52.9800 | INFO | WebView.Controllers.TogetherPassengerController | 預約資料獲取成功 

2021-09-10 17:06:03.5995 | INFO | WebView.Controllers.TogetherPassengerController | 圈存結果 : 同時段有合約或預約，不能邀請哦！ 

2021-09-10 17:06:11.7516 | INFO | WebView.Controllers.TogetherPassengerController | 請求失敗 

